"stop_id","elevation","slope","scale","used"
17,107.639904978871,2.05039280532473,5,1
18,12.6191309317064,2.37111090810399,5,1
19,4.024065219693,1.71298924990567,5,1
20,3.92935100830852,1.39243976177405,5,1
21,5.51909704939685,1.66574177640309,5,1
22,7.93351639977829,1.61035791169636,5,1
23,19.6388960218461,2.871083876875,5,1
24,20.5009767979697,3.83656309262386,5,1
25,2.93032676902423,1.79557790433269,5,1
26,380.006360411168,3.69919568480876,5,1
27,3.57915179214033,1.74698638604136,5,1
28,3.65250301492273,1.74042565880839,5,1
29,11.1947093793513,2.33146456811955,5,1
30,9.32047644842558,2.59532754439994,5,1
31,7.14428288663743,1.77757339558439,5,1
32,29.3324342808993,2.85094757006242,5,1
33,21.2508928161486,3.5025084411599,5,1
9,22.8998884779831,3.04375258891553,5,1
10,196.967205922218,2.50356632910522,5,1
11,1.44480313855076,0.222439964882654,5,1
12,423.586845669605,2.35473763017406,5,1
13,21.3793188856377,4.2429353928036,5,1
14,12.5860346920782,2.38028459509077,5,1
15,1.68588003090118,0.593299794364049,5,1
16,101.753801963824,2.67784699074625,5,1
300,110.564375612819,2.47677616804237,5,1
301,165.553684644762,2.4105071277693,5,1
302,151.102399351401,3.3882840707105,5,1
303,99.603201664038,2.82458632637548,5,1
304,163.127994444143,1.95105205077348,5,1
305,315.884108266683,2.70809937520459,5,1
306,85.8092034996704,3.56273375940727,5,1
307,192.210311722062,3.10699671544696,5,1
308,166.24985045651,2.02241150528127,5,1
309,94.1264424538019,3.63276578660001,5,1
310,164.464379168874,1.80595706069253,5,1
311,164.718146363435,1.93192714570873,5,1
312,114.721025790493,2.81404308863327,5,1
313,154.531212583866,1.55156569287464,5,1
314,2855.93058611378,12.1414767347754,5,1
315,168.189841512511,1.64732673383948,5,1
316,165.324466064278,1.77044162201608,5,1
317,173.568923633362,3.8036790224644,5,1
318,107.195302613468,4.0929730356349,5,1
319,145.739215124959,1.59897553571117,5,1
320,262.251503569342,3.72981678697696,5,1
322,170.129050028827,2.28188497269377,5,1
323,68.0891483433072,4.11664389819629,5,1
324,139.520011606315,1.8371407238537,5,1
325,143.35570876444,1.88294909705097,5,1
326,267.50888251896,3.43261788151628,5,1
327,272.759385748986,2.19782331218056,5,1
329,151.051371097908,1.46951679207072,5,1
330,255.083264906111,5.59728739926173,5,1
331,214.752022773211,2.36978134256873,5,1
332,169.564101225915,1.73933661369516,5,1
333,191.710247746703,4.16979234598322,5,1
334,200.847039249997,4.52284027024482,5,1
335,233.453522709387,3.91873931216041,5,1
336,151.286152244643,2.33302220769373,5,1
337,150.422956421224,1.91948894406879,5,1
338,117.693006464028,4.0822280094246,5,1
339,156.798538775239,1.85851682677166,5,1
340,61.0207138506999,3.46657082398982,5,1
341,150.960354753995,2.0914067686125,5,1
342,154.618129003478,1.60067705515999,5,1
343,152.07445233315,1.98486129327394,5,1
344,166.832874064767,4.5491964864477,5,1
345,197.107974652846,2.8447460220441,5,1
346,119.438683760358,3.4465158881877,5,1
347,172.650535486323,3.45665717033247,5,1
348,821.469581311939,2.60870814529323,5,1
349,153.490598677075,3.08145682317119,5,1
350,207.793213903392,2.65657862726946,5,1
351,265.98249269857,2.01538362958355,5,1
352,83.9655413729511,2.83918595272016,5,1
353,189.65694169112,2.19444984685335,5,1
354,140.01056995403,2.26293904587031,5,1
355,139.118468362962,2.3282322259581,5,1
356,74.2951664721307,4.20289726424919,5,1
357,147.330590465024,1.45074318780752,5,1
358,84.7309741513555,3.8710659184026,5,1
359,155.52645752126,2.5960331320313,5,1
360,402.60435495883,2.36416597809926,5,1
361,109.928244918827,2.24300606230279,5,1
362,151.618932981149,1.97540719344714,5,1
363,163.307554439521,1.6620893631636,5,1
364,166.246062482657,1.6968941761805,5,1
365,163.650139259614,1.68286543894858,5,1
366,151.575121138983,1.78015909646451,5,1
53,178.665947321384,4.86155619854897,5,1
54,103.587834868644,2.06044169716796,5,1
55,14.8427855202515,2.40271075980745,5,1
56,176.484512694598,2.1725570647967,5,1
57,167.470137950261,1.47054947223394,5,1
64,175.758453462338,2.31570687123783,5,1
65,159.739445660133,1.52687403424026,5,1
66,151.788462663876,1.89392678513848,5,1
48,148.518285708613,2.17518277861223,5,1
51,138.294447951956,3.15391087224744,5,1
52,165.726425349934,2.8967986843214,5,1
58,275.330372720466,4.75292593785901,5,1
61,73.7783497809738,2.76552726277501,5,1
62,124.456457668712,3.95173455299009,5,1
63,133.796702600527,1.80266760667977,5,1
67,186.430979058263,1.90268027624079,5,1
195,186.841616125189,2.66169578813816,5,1
196,186.121374470242,3.53546943662715,5,1
1,5.96135318983719,2.03844706896317,5,1
2,58.2982275913501,2.69706970406127,5,1
3,47.5727445783368,2.89374696462579,5,1
4,190.164144875074,2.29048266530492,5,1
5,11.1144135928512,3.02442792768541,5,1
6,45.8679428841434,3.94250150619702,5,1
7,178.624307379141,1.68998456513518,5,1
8,15.1001603741403,3.1956680208951,5,1
34,14.8157601089739,2.73949428155661,5,1
35,4.09853748541198,1.66583934212537,5,1
36,7.74548851188578,1.66699964281358,5,1
37,139.721500734726,3.39753656453816,5,1
38,138.412660460627,3.27246942160866,5,1
39,288.902825625681,3.54161509656338,5,1
40,189.950352963611,3.61975922437355,5,1
41,155.624452569623,1.87636545777428,5,1
42,152.129350448922,2.03653930388243,5,1
43,213.576882697945,2.84085355507584,5,1
44,16.8121270529529,3.5672183438451,5,1
45,10.8167252628653,2.92057258158324,5,1
46,42.1916749680718,3.26218154329912,5,1
47,9.6165201688312,2.63780732014212,5,1
49,3.98465925707107,1.80945546658493,5,1
104,109.879226881632,3.0409302229377,5,1
105,197.19486031517,4.54233470348089,5,1
106,405.200952385457,4.67142160432507,5,1
108,66.705726434063,3.56005362720322,5,1
109,134.743670043451,1.66369440562799,5,1
111,126.090553656625,2.95385189208228,5,1
112,124.608412721555,4.33751682475728,5,1
113,161.561027039377,3.3755351001608,5,1
114,149.290281458219,3.64571260927668,5,1
116,161.904101796602,1.65097071185223,5,1
119,169.136303103718,3.15516321978025,5,1
117,120.860802158147,2.75848326807085,5,1
120,173.107504325528,2.1812675028887,5,1
121,284.457955921352,2.07945497010357,5,1
130,836.752263375329,2.61592323823422,5,1
131,302.450316159689,1.85526219108867,5,1
132,151.038297717877,1.9456668748075,5,1
140,114.442975302983,2.82826122617679,5,1
141,164.413940480918,2.20210968442918,5,1
142,274.187870532034,2.42722769215943,5,1
143,60.8174035150443,3.78690352675555,5,1
144,238.503576194485,1.68934927342412,5,1
145,137.452048897664,1.83365897042874,5,1
146,205.057071820241,2.88585242776104,5,1
147,159.792629080027,2.54292176790637,5,1
148,156.407500537327,2.00007439786342,5,1
149,75.9810123729276,3.41532239975373,5,1
150,200.426051424944,2.58428222077226,5,1
151,121.365902456786,3.40209434955541,5,1
152,157.025392066293,3.38326123312046,5,1
153,164.282710749484,1.81886204229124,5,1
154,254.273845396454,2.06472277542356,5,1
156,284.803668285039,6.18768508079993,5,1
157,188.031920901797,1.9869625346217,5,1
158,100.508150893347,3.97121025725641,5,1
159,178.071459589752,2.1296375319429,5,1
160,173.026497943772,1.55937458512523,5,1
161,162.240309529167,1.66486159967985,5,1
163,172.149198638488,2.14412010078905,5,1
164,151.41817725467,1.45093963442636,5,1
165,165.680382921898,1.92487340578607,5,1
166,187.182154235118,3.46760519533367,5,1
167,190.963021811584,1.91859894610473,5,1
168,106.900635469035,4.23483588598144,5,1
171,68.9493735928726,3.81667072846086,5,1
172,195.117191788017,2.42682823180083,5,1
173,27.8057875474637,2.24232075027535,5,1
174,34.601698024473,3.30208525387397,5,1
175,229.365347957282,2.43295386959366,5,1
177,150.978412568447,1.71069114051023,5,1
179,143.995013606108,3.91038224132602,5,1
180,257.539119293201,2.11187628669147,5,1
181,239.305818532135,1.78297143484086,5,1
182,245.267792554251,3.49965687366329,5,1
183,68.4480730808815,3.45571970262572,5,1
186,131.773882324905,2.99918618782205,5,1
187,299.15351896102,6.36684846069543,5,1
188,164.416184011869,1.89242945233,5,1
189,160.072798709518,1.57153167353646,5,1
190,245.773608422536,3.42940007256504,5,1
191,253.024517024265,1.00168669843228,5,1
192,143.548481073913,2.34917217613903,5,1
193,128.714816668548,3.46621593015244,5,1
194,168.008082407352,3.03975897152642,5,1
68,152.156659473999,4.73022155859821,5,1
69,211.446524395548,2.40815175241544,5,1
70,167.101494827431,1.72587508394998,5,1
71,159.861836406318,1.7262715882457,5,1
72,147.27577822014,4.09743057434693,5,1
73,171.52626192061,5.87598600409845,5,1
74,262.506263508366,4.54064576219388,5,1
75,87.6629963488832,3.55974499276096,5,1
76,118.080530063811,3.89063395731691,5,1
77,145.197589407017,2.15226689778957,5,1
78,124.360893872577,3.39277722776392,5,1
79,172.760494313599,2.16529675121685,5,1
80,145.907166626677,1.39819605770695,5,1
81,193.042894556915,2.64156658473827,5,1
82,267.590693067975,2.60800230052102,5,1
83,69.4683256310562,2.52913462596256,5,1
84,268.651594043906,3.75113451163055,5,1
85,143.748830803655,2.88439297050063,5,1
86,145.475582855301,1.74933124472211,5,1
87,149.818902653797,3.09595290353091,5,1
88,64.9801015273088,3.10162886061742,5,1
89,139.019983612763,1.52679046405332,5,1
90,165.882877221093,1.68598317911608,5,1
91,178.233744925247,2.08022973257692,5,1
92,99.7834533844202,2.9524488301876,5,1
93,89.8822281981287,2.27268884072291,5,1
94,110.556898440205,3.068998721657,5,1
95,159.961531880188,1.57130393581117,5,1
96,111.62915367998,2.57977979770967,5,1
97,131.724083364658,3.49679946850281,5,1
98,261.117827909143,3.51111613525569,5,1
99,205.078046428014,3.18197628738829,5,1
100,183.462538448188,3.30147755465646,5,1
101,137.979519339751,1.62741522515143,5,1
102,422.858076299112,7.23506782073832,5,1
103,225.604093126493,2.66713977063379,5,1
198,145.064820166804,1.52623536973832,5,1
199,471.250893273087,2.08615014183026,5,1
200,374.831920488181,2.70910528177156,5,1
201,146.172760202736,1.83344973016274,5,1
202,2.97604386202493,1.93299654294312,5,1
204,211.550776535807,2.47496413752114,5,1
205,144.0348695719,1.5232447285119,5,1
206,218.077425095911,3.58741509119956,5,1
207,161.261603473431,4.53182364307526,5,1
208,163.007088803475,1.65716982463079,5,1
209,3654.89373911437,13.58997502387,5,1
210,165.168771397216,2.66834844597585,5,1
211,181.74526695851,1.47216679273241,5,1
212,140.874608080847,1.8682251379178,5,1
213,227.127803971595,4.94116952910425,5,1
